school_id,term_code,term_name,subject,course_number,crn,section_number,title,credits,credits_min,credits_max,credits_raw,instructional_method,campus,capacity,enrolled,waitlist_capacity,waitlist_count,cross_list_group,cross_list_capacity,cross_list_enrolled,meetings,instructors,extraction_failures,source_url,retrieved_at,last_confirmed_at
cocc,202540,Fall 2025 (View Only),AH,111,40859,03,Medical Terminology,3.0,3.0,3.0,3,Online,Online,30,27,30,0,,,,none - Online  Lecture,Michael Baker (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),APR,100,40869,02,Trade Skills Fundamentals,4.0,4.0,4.0,4,Hybrid,Redmond Campus,13,12,13,0,,,,S 0800-1700 Redmond Technology Ed Center 113 Lecture/Lab ; S 0800-1700 Redmond Technology Ed Center 113 Lecture/Lab ; S 0800-1700 Redmond Technology Ed Center 113 Lecture/Lab ; S 0800-1700 Redmond Technology Ed Center 113 Lecture/Lab ; none - Online  Lecture/Lab,Rachel Stark (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AUT,101,40077,02,Basic Electricity-Automotive,2.0,2.0,2.0,2,In-Person,Bend Campus,12,9,12,0,,,,MTWR 0745-1335 Ponderosa Hall 0106 Lab,Lanny Gallion (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AUT,101,40078,03,Basic Electricity-Automotive,2.0,2.0,2.0,2,In-Person,Bend Campus,12,7,12,0,,,,MTWR 0745-1335 Ponderosa Hall 0106 Lab,Lanny Gallion (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AUT,106,40081,01,Automotive Program Orientation,1.0,1.0,1.0,1,In-Person,Bend Campus,38,38,38,0,,,,MTW 1400-1710 Ponderosa Hall 0102 Lecture,Jared Green ; Jim Siekkinen (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AUT,110,40101,04,Small Gas Engines,3.0,3.0,3.0,3,Hybrid,Bend Campus,12,11,12,0,,,,MTWR 0745-1335 Ponderosa Hall 0107 Lab ; none - Online  Lab,Chuck Arnold (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AV,112,40123,01,Technically Advanced Aircraft,3.0,3.0,3.0,3,In-Person,Bend Campus,35,12,35,0,,,,F 1000-1150 Grandview Hall 0110 Lecture ; none - Bend Airport  Lecture/Lab,Steve Crowe (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AV,115,40108,01,Private Pilot-Helicopter,5.0,5.0,5.0,5,In-Person,Bend Campus,36,21,36,0,,,,MW 1500-1720 Health Careers Center 0140 Lecture ; M 1515-1715 Health Careers Center 0140 Final Exam,Walter Lasecki (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AV,222A,40125,01,Pvt Pilot I Airplane Flt Lab,1.0,1.0,1.0,1,In-Person,Bend Campus,30,18,30,0,,,,none - Bend Airport  Lab,Lisa Shipman ; Kamilla Farkas (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AV,222G,40131,01,Comm Pilot II Airplane Flt Lab,1.0,1.0,1.0,1,In-Person,Bend Campus,30,13,30,0,,,,none - Bend Airport  Lab,Lisa Shipman ; Kamilla Farkas (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AV,227E,40141,01,Inst Pilot II Heli Flt Lab,1.0,1.0,1.0,1,In-Person,Bend Campus,30,3,30,0,,,,none - Bend Airport  Lab,Lisa Shipman ; Steve Crowe (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),AV,235,40117,01,Human Factors,4.0,4.0,4.0,4,In-Person,Bend Campus,36,27,36,0,,,,TR 0800-0950 Cascades Hall 0118 Lecture ; T 0800-1000 Cascades Hall 0118 Final Exam,Steve Crowe (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),BA,101Z,40158,03,Introduction to Business,4.0,4.0,4.0,4,In-Person,Bend Campus,28,28,28,0,,,,MW 1300-1450 Cascades Hall 0246 Lecture ; M 1300-1500 Cascades Hall 0246 Final Exam,Steven VanRoekel (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),BA,101Z,40173,06,Introduction to Business,4.0,4.0,4.0,4,Online,Online,28,24,28,0,,,,none - Online  Lecture,Darien Estes (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),BA,214,40169,03,Business Communications,3.0,3.0,3.0,3,In-Person,Bend Campus,28,18,28,0,,,,TR 1000-1120 Grandview Hall 0112 Lecture ; T 1015-1215 Grandview Hall 0112 Final Exam,Holly Hutchins (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),BA,214,40187,01,Business Communications,3.0,3.0,3.0,3,Online,Online,28,25,28,0,,,,none - Online  Lecture,Michael Hansen (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),BI,105,40770,02,Biology for Health Sciences,4.0,4.0,4.0,4,Online,Online,24,20,24,0,,,,none - Online  Lecture,Marilyn Waller-Niewold (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),BI,232,40762,01,Human Anatomy & Physiology II,4.0,4.0,4.0,4,Online,Online,24,21,24,0,,,,none - Online  Lab ; none - Online  Lecture,Jess Miller (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),CH,221Z,40742,01,General Chemistry I,4.0,4.0,4.0,4,Hybrid,Bend Campus,24,21,24,0,,,,T 0900-0950 Middleton Science Center 0220 Lecture ; T 1015-1215 Middleton Science Center 0220 Final Exam ; none - Online  Lecture,Stephanie Christau (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
cocc,202540,Fall 2025 (View Only),CIS,125V,40257,01,Visio,4.0,4.0,4.0,4,Online,Online,28,4,28,0,,,,none - Online  Combination Lecture/Lab,Sean Palagyi (primary),,https://reg-prod.cocc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202540&startDatepicker=&endDatepicker=&uniqueSessionId=dg7fbb9355f165&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,2026-09-12T16:02:10.8265560+00:00,2026-09-12T17:34:56.2888100+00:00
