school_id,term_code,term_name,subject,course_number,crn,section_number,title,days,start_time,end_time,building,room,instructor,source_url,match,note
gsu,202608,Fall Semester 2026,MUS,7320,87844,002,AC: CHAMBER MUSIC STRINGS,TR,1100,1215,Standard Building,502,"Scibelli, Serena  .",https://registration.gosolar.gsu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202608&startDatepicker=&endDatepicker=&uniqueSessionId=dg3dea5bc9bc0f&pageOffset=7500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
usf,202601,Spring 2026 (View Only),ACG,6875,11162,901,Financial Reporting & Professional Issues,M,1830,2115,C H Ferguson Hall (Bus) (BSN),2205,"Robinson, D.",https://studentssb9.it.usf.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202601&startDatepicker=&endDatepicker=&uniqueSessionId=dgcf6c7e6958a4&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
utrgv,202710,Fall 2026,MUEN,2175,43413,01,Piano Accompanying IV,none,,,ROOM,NOT NEEDED,Migeun Chung,https://assist.utrgv.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202710&startDatepicker=&endDatepicker=&uniqueSessionId=dgcab1345e2fc5&pageOffset=4000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
ccsf,202670,Fall 2026,CS,110A,73022,932,Introduction to Programming and Computer Science,none,,,,,Constance Conner,https://ssb1.ccsf.edu:8105/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202670&startDatepicker=&endDatepicker=&uniqueSessionId=dgb5a4d048fa37&pageOffset=500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
gsu,202301,Spring Semester 2023 (View Only),PSYC,2103,11542,002,INTRO TO HUMAN DEVELOPMENT,MW,0930,1045,Langdale Hall,215,"Henry, Meredith A.",https://registration.gosolar.gsu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202301&startDatepicker=&endDatepicker=&uniqueSessionId=dgaea98b8490a3&pageOffset=8500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
temple,202520,2025 Summer I (View Only),DENT,D265,14413,001,Restorative Dentistry III Lab,none,,,,,Kenneth G. Boberick,https://prd-xereg.temple.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202520&startDatepicker=&endDatepicker=&uniqueSessionId=dgf9e84085e680&pageOffset=1500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
cofc,202010,2019 Fall (View Only),CITA,395,11595,01,CITA Seminar,TR,1410,1525,Harbor Walk East,301,William Bares,https://ssb.cofc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202010&startDatepicker=&endDatepicker=&uniqueSessionId=dgc7319da77c57&pageOffset=500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
uncc,202480,Fall 2024 (View Only),SOWK,5113,14181,001,Mental Health and Substance Use,none,,,,,Frances Ferrante-Fusilli,https://selfservice.uncc.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202480&startDatepicker=&endDatepicker=&uniqueSessionId=dgd158a399c272&pageOffset=4500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
starkstate,202620,Fall 2025 (View Only),COM,121,35191,045,EFFECTIVE SPEAKING,MW,1030,1145,Main Campus,B113,"Dematteis, Michael M.",https://selfservice-registration.starkstate.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202620&startDatepicker=&endDatepicker=&uniqueSessionId=dgdce1d9b34b19&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
gmu,202070,Fall 2020 (View Only),PHIL,100,82841,DL2,Introduction to Philosophy,MW,1030,1145,ON,LINE,"Daniels, Jordan",https://ssbstureg.gmu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202070&startDatepicker=&endDatepicker=&uniqueSessionId=dgee0a5e85bc2a&pageOffset=5000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
